id,prompt,context,A,B,C,D,E,answer,useful,thought
103,What is the reason for the sun appearing slightly yellowish when viewed from Earth?,"A number of different atmospheric conditions can be responsible for this effect, all of which divert the sunlight in such a way as to allow it to reach the observer's eye, thereby giving the impression that the light comes directly from the Sun itself. A related phenomenon is gegenschein (or counterglow), sunlight backscattered from the interplanetary dust, appearing directly opposite to the Sun as a faint but slightly brighter oval glow. This is why it is most clearly visible near sunrise or sunset when the sun is blocked, but the dust particles nearest the line of sight to the sun are not. Up to now, the ""Blue Sky with a White Sun"" can still be seen in the emblem of the US Army 75th Ranger Regiment. The zodiacal light (also called false dawn when seen before sunrise) is a faint glow of diffuse sunlight scattered by interplanetary dust.",The sun appears yellowish due to a reflection of the Earth's atmosphere.,"The longer wavelengths of light, such as red and yellow, are not scattered away and are directly visible when looking towards the sun.","The sun appears yellowish due to the scattering of all colors of light, mainly blue and green, in the Earth's atmosphere.","The sun emits a yellow light due to its own spectrum, which is visible when viewed from Earth.","The atmosphere absorbs the shorter wavelengths of light, such as blue and red, leaving only the longer wavelengths of light, such as green and yellow, visible when looking towards the sun.",B,FALSE,fail
104,What is the Landau-Lifshitz-Gilbert equation used for in physics?,"In physics, the Landau–Lifshitz–Gilbert equation, named for Lev Landau, Evgeny Lifshitz, and T. L. Gilbert, is a name used for a differential equation describing the precessional motion of magnetization in a solid. The Landau–Lifshitz–Gilbert equation predicts the rotation of the magnetization in response to torques. Using the methods of irreversible statistical mechanics, numerous authors have independently obtained the Landau–Lifshitz equation. ==Landau–Lifshitz–Gilbert equation== In 1955 Gilbert replaced the damping term in the Landau–Lifshitz (LL) equation by one that depends on the time derivative of the magnetization: {d t}=-\gamma \left(\mathbf{M} \times \mathbf{H}_{\mathrm{eff}} - \eta \mathbf{M}\times\frac{d \mathbf{M}}{d t}\right)|}} This is the Landau–Lifshitz–Gilbert (LLG) equation, where is the damping parameter, which is characteristic of the material. In solid-state physics, the Landau–Lifshitz equation (LLE), named for Lev Landau and Evgeny Lifshitz, is a partial differential equation describing time evolution of magnetism in solids, depending on 1 time variable and 1, 2, or 3 space variables. ==Landau–Lifshitz equation== The LLE describes an anisotropic magnet. An additional term was added to the equation to describe the effect of spin polarized current on magnets. ==Landau–Lifshitz equation== thumb|upright|The terms of the Landau–Lifshitz–Gilbert equation: precession (red) and damping (blue).","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a liquid, and is commonly used in micromagnetics to model the effects of a magnetic field on ferromagnetic materials.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in astrophysics to model the effects of a magnetic field on celestial bodies.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in micromagnetics to model the effects of a magnetic field on ferromagnetic materials.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in macro-magnetics to model the effects of a magnetic field on ferromagnetic materials.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a liquid, and is commonly used in macro-magnetics to model the effects of a magnetic field on ferromagnetic materials.",C,TRUE,"The background knowledge provides information about the Landau-Lifshitz-Gilbert equation and its applications in physics. Based on the background knowledge, we can determine that the Landau-Lifshitz-Gilbert equation is used to describe the precessional motion of magnetization in a solid, and it is commonly used in micromagnetics to model the effects of a magnetic field on ferromagnetic materials."
105,What is spatial dispersion?,"In the physics of continuous media, spatial dispersion is a phenomenon where material parameters such as permittivity or conductivity have dependence on wavevector. Spatial dispersion refers to the non-local response of the medium to the space; this can be reworded as the wavevector dependence of the permittivity. Spatial dispersion can be compared to temporal dispersion, the latter often just called dispersion. Within optics, dispersion is a property of telecommunication signals along transmission lines (such as microwaves in coaxial cable) or the pulses of light in optical fiber. Temporal dispersion represents memory effects in systems, commonly seen in optics and electronics. ","Spatial dispersion is a phenomenon in the physics of continuous media where material parameters such as permittivity or conductivity have dependence on time. It represents memory effects in systems, commonly seen in optics and electronics.",Spatial dispersion is a phenomenon in the physics of continuous media where material parameters such as permittivity or conductivity have dependence on time. It represents spreading effects and is usually significant only at microscopic length scales.,"Spatial dispersion is a phenomenon in the physics of continuous media where material parameters such as permittivity or conductivity have no dependence on wavevector. It represents memory effects in systems, commonly seen in optics and electronics.",Spatial dispersion is a phenomenon in the physics of continuous media where material parameters such as permittivity or conductivity have dependence on wavevector. It represents spreading effects and is usually significant only at microscopic length scales.,"Spatial dispersion is a phenomenon in the physics of continuous media where material parameters such as permittivity or conductivity have dependence on wavevector. It represents memory effects in systems, commonly seen in optics and electronics.",D,TRUE,"Spatial dispersion refers to the non-local response of the medium to the space, specifically the wavevector dependence of the permittivity. Therefore, the correct answer is D) Spatial dispersion is a phenomenon in the physics of continuous media where material parameters such as permittivity or conductivity have dependence on wavevector. It represents spreading effects and is usually significant only at microscopic length scales."
106,What are the constituents of cold dark matter?,"Cold Dark Matter may refer to: * Cold dark matter, a hypothetical form of dark matter in cosmology and physics * Cold Dark Matter (Psychic TV album) * Cold Dark Matter (Red Harvest album), 2000 It consists of particles ""that emerge relatively late in cosmic time (z ≲ 1000) and are born non-relativistic from the decays of cold particles"". == Notes == Category:Physical cosmology Category:Dark matter Fuzzy cold dark matter is a hypothetical form of cold dark matter proposed to solve the cuspy halo problem. Fuzzy cold dark matter is a limit of scalar field dark matter without self-interaction. Meta-cold dark matter, also known as mCDM, is a form of cold dark matter proposed to solve the cuspy halo problem.","They are unknown, but possibilities include large objects like MACHOs or new particles such as WIMPs and axions.",They are known to be black holes and Preon stars.,They are only MACHOs.,They are clusters of brown dwarfs.,They are new particles such as RAMBOs.,A,TRUE,"Based on the background knowledge, cold dark matter is a hypothetical form of dark matter in cosmology and physics. It consists of particles that emerge relatively late in cosmic time and are born non-relativistic from the decays of cold particles. Therefore, option A) They are unknown, but possibilities include large objects like MACHOs or new particles such as WIMPs and axions, seems to be the most accurate answer based on the background knowledge."
107,What is the mechanism of FTIR?,"Nano-FTIR (nanoscale Fourier transform infrared spectroscopy) is a scanning probe technique that utilizes as a combination of two techniques: Fourier transform infrared spectroscopy (FTIR) and scattering-type scanning near-field optical microscopy (s-SNOM). Fourier-transform infrared spectroscopy (FTIR) is a technique used to obtain an infrared spectrum of absorption or emission of a solid, liquid, or gas. A typical nano-FTIR setup thus consists of an atomic force microscope, a broadband infrared light source used for tip illumination, and a Michelson interferometer acting as Fourier-transform spectrometer. A mathematical approach Fourier Transform converts the raw data into spectrum. === Advantages === * The FTIR technique uses a polychromatic beam of light with a wide range of continuous frequencies simultaneously, and therefore allows a much higher speed of scanning versus the conventional monochromatic dispersive spectroscopy. As s-SNOM, nano-FTIR is based on atomic-force microscopy (AFM), where a sharp tip is illuminated by an external light source and the tip- scattered light (typically back-scattered) is detected as a function of tip position. ","The mechanism of FTIR is called ray optics, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called scattering, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called frustrated TIR, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called evanescent-wave coupling, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called total internal reflection microscopy, which is a good analog to visualize quantum tunneling.",D,TRUE,"The background knowledge provided explains that FTIR stands for Fourier transform infrared spectroscopy, which is a technique used to obtain an infrared spectrum of absorption or emission of a solid, liquid, or gas. It utilizes a polychromatic beam of light with a wide range of continuous frequencies simultaneously. The mechanism of FTIR involves scattering-type scanning near-field optical microscopy (s-SNOM), where a sharp tip is illuminated by an external light source and the tip-scattered light is detected as a function of tip position. Based on this information, the correct answer is D) The mechanism of FTIR is called evanescent-wave coupling, which is a good analog to visualize quantum tunneling."
108,What is the origin of the permanent moment in paramagnetism?,"In magnetic materials, the cause of the magnetic moment are the spin and orbital angular momentum states of the electrons, and varies depending on whether atoms in one region are aligned with atoms in another. === Magnetic pole model === thumb|upright|An electrostatic analog for a magnetic moment: two opposing charges separated by a finite distance. These unpaired dipoles (often called simply ""spins"", even though they also generally include orbital angular momentum) tend to align in parallel to an external magnetic field leading to a macroscopic effect called paramagnetism. This dipole moment comes from the more fundamental property of the electron that it has quantum mechanical spin. It is these intrinsic magnetic moments that give rise to the macroscopic effects of magnetism, and other phenomena, such as electron paramagnetic resonance. In this definition, the magnetic dipole moment of a system is the negative gradient of its intrinsic energy, , with respect to external magnetic field: : \mathbf{m} = -\hat\mathbf x\frac{\partial U_{\rm int}}{\partial B_x}-\hat\mathbf y\frac{\partial U_{\rm int}}{\partial B_y} -\hat\mathbf z\frac{\partial U_{\rm int}}{\partial B_z}. ",The permanent moment is generally due to the spin of unpaired electrons in atomic or molecular electron orbitals.,The permanent moment is due to the alignment of dipoles perpendicular to the applied field.,"The permanent moment is due to the torque provided on the magnetic moments by an applied field, which tries to align the dipoles perpendicular to the applied field.",The permanent moment is due to the quantum-mechanical properties of spin and angular momentum.,The permanent moment is due to the interaction of dipoles with one another and are randomly oriented in the absence of an external field due to thermal agitation.,A,TRUE,"Based on the background knowledge, the origin of the permanent moment in paramagnetism is generally due to the spin of unpaired electrons in atomic or molecular electron orbitals. This is option A."
109,What is the reason that Newton's second law cannot be used to calculate the development of a physical system in quantum mechanics?,"The successes of kinetic theory gave further credence to the idea that matter is composed of atoms, yet the theory also had shortcomings that would only be resolved by the development of quantum mechanics. The first applications of quantum mechanics to physical systems were the algebraic determination of the hydrogen spectrum by Wolfgang Pauli and the treatment of diatomic molecules by Lucy Mensing. ==Modern quantum mechanics== Heisenberg formulated an early version of the uncertainty principle in 1927, analyzing a thought experiment where one attempts to measure an electron's position and momentum simultaneously. Early pioneers of quantum physics saw applications of quantum mechanics in biological problems. The history of quantum mechanics is a fundamental part of the history of modern physics. This was followed by other quantum models such as the John William Nicholson model of 1912 which was nuclear and discretized angular momentum.J. W. Nicholson, Month.","The existence of particle spin, which is linear momentum that can be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that is always equal to zero.","The existence of particle spin, which is linear momentum that cannot be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that cannot be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that can be described by the cumulative effect of point-like motions in space.",D,TRUE,"In quantum mechanics, the existence of particle spin is a fundamental property that cannot be described by the cumulative effect of point-like motions in space. Newton's second law, which relates the force acting on an object to its mass and acceleration, does not account for the intrinsic angular momentum associated with particle spin. Therefore, Newton's second law cannot be used to accurately calculate the development of a physical system in quantum mechanics."
110,"What is the butterfly effect, as defined by Lorenz in his book ""The Essence of Chaos""?","In the book entitled The Essence of Chaos published in 1993, Lorenz defined butterfly effect as: ""The phenomenon that a small alteration in the state of a dynamical system will cause subsequent states to differ greatly from the states that would have followed without the alteration."" In chaos theory, the butterfly effect is the sensitive dependence on initial conditions in which a small change in one state of a deterministic nonlinear system can result in large differences in a later state. The butterfly effect describes a phenomenon in chaos theory whereby a minor change in circumstances can cause a large change in outcome. While the ""butterfly effect"" is often explained as being synonymous with sensitive dependence on initial conditions of the kind described by Lorenz in his 1963 paper (and previously observed by Poincaré), the butterfly metaphor was originally applied to work he published in 1969 which took the idea a step further. A short documentary that explains the ""butterfly effect"" in context of Lorenz's work.","The butterfly effect is the phenomenon that a small change in the initial conditions of a dynamical system can cause subsequent states to differ greatly from the states that would have followed without the alteration, as defined by Einstein in his book ""The Theory of Relativity.""","The butterfly effect is the phenomenon that a large change in the initial conditions of a dynamical system has no effect on subsequent states, as defined by Lorenz in his book ""The Essence of Chaos.""","The butterfly effect is the phenomenon that a small change in the initial conditions of a dynamical system can cause significant differences in subsequent states, as defined by Lorenz in his book ""The Essence of Chaos.""","The butterfly effect is the phenomenon that a small change in the initial conditions of a dynamical system has no effect on subsequent states, as defined by Lorenz in his book ""The Essence of Chaos.""","The butterfly effect is the phenomenon that a large change in the initial conditions of a dynamical system can cause significant differences in subsequent states, as defined by Lorenz in his book ""The Essence of Chaos.""",C,TRUE,"The background knowledge provides a clear definition of the butterfly effect as defined by Lorenz in his book 'The Essence of Chaos.' According to the background, the butterfly effect is the phenomenon that a small change in the initial conditions of a dynamical system can cause subsequent states to differ greatly from the states that would have followed without the alteration. Based on this information, we can determine that option C) 'The butterfly effect is the phenomenon that a small change in the initial conditions of a dynamical system can cause significant differences in subsequent states, as defined by Lorenz in his book 'The Essence of Chaos'' is the correct answer."
111,What is the role of CYCLOIDEA genes in the evolution of bilateral symmetry?,"Xenambulacraria is a proposed clade of animals with bilateral symmetry as an embryo, consisting of the Xenacoelomorpha (i.e., Xenoturbella and acoelomorphs) and the Ambulacraria (i.e., echinoderms and hemichordates). The Chthonioidea are a superfamily of pseudoscorpions, representing the earliest diverging and most primitive living pseudoscorpions. If confirmed, the clade would either be the sister group to the chordates (if deuterostomes are monophyletic) or the sister group to all the other bilaterians, grouped together in Centroneuralia (with deuterostomes being paraphyletic). The superfamily contains two families. Cyclin-A2 is a protein that in humans is encoded by the CCNA2 gene.",CYCLOIDEA genes are responsible for the selection of symmetry in the evolution of animals.,"CYCLOIDEA genes are responsible for the evolution of specialized pollinators in plants, which in turn led to the transition of radially symmetrical flowers to bilaterally symmetrical flowers.","CYCLOIDEA genes are responsible for the expression of dorsal petals in Antirrhinum majus, which control their size and shape.","CYCLOIDEA genes are responsible for the expression of transcription factors that control the expression of other genes, allowing their expression to influence developmental pathways relating to symmetry.",CYCLOIDEA genes are responsible for mutations that cause a reversion to radial symmetry.,D,FALSE,fail
112,What is the required excess quark per billion quark-antiquark pairs in the early universe in order to provide all the observed matter in the universe?,"They may consist of five quarks tightly bound together, but it is also possible that they are more loosely bound and consist of a three-quark baryon and a two- quark meson interacting relatively weakly with each other via pion exchange (the same force that binds atomic nuclei) in a ""meson-baryon molecule"". ==History== ===Mid-2000s=== The requirement to include an antiquark means that many classes of pentaquark are hard to identify experimentally – if the flavour of the antiquark matches the flavour of any other quark in the quintuplet, it will cancel out and the particle will resemble its three-quark hadron cousin. During the quark epoch, the universe was filled with a dense, hot quark–gluon plasma, containing quarks, leptons and their antiparticles. These 'regular' hadrons are well documented and characterized; however, there is nothing in theory to prevent quarks from forming 'exotic' hadrons such as tetraquarks with two quarks and two antiquarks, or pentaquarks with four quarks and one antiquark. ==Structure== thumb|right|A diagram of the type pentaquark possibly discovered in July 2015, showing the flavours of each quark and one possible colour configuration.|alt=five circles arranged clockwise: blue circle marked ""c"", yellow (antiblue) circle marked ""c"" with an overscore, green circle marked ""u"", blue circle marked ""d"", and red circle marked ""u"". The proposed state was composed of two up quarks, two down quarks, and one strange antiquark (uudd). As quarks have a baryon number of , and antiquarks of , the pentaquark would have a total baryon number of 1, and thus would be a baryon.",One,Five,Three,Two,Four,A,TRUE,"Based on the background knowledge, the excess quark per billion quark-antiquark pairs in the early universe required to provide all the observed matter is one."
113,"What is the meaning of the term ""horror vacui""?","Horror vacui can refer to: *Horror vacui (art), a concept in art approximately translated from Latin fear of empty spaces *Horror vacui (physics), a physical postulate *Horror Vacui (film), a 1984 German satirical film *Horror Vacui (album), by Linea 77 *Horror Vacui, a composition by Jonny Greenwood By contrast, horror is the feeling of revulsion that usually follows a frightening sight, sound, or otherwise experience. Erotic horror, alternately called horror erotica or dark erotica, is a term applied to works of fiction in which sensual or sexual imagery are blended with horrific overtones or story elements for the sake of sexual titillation. According to Devendra Varma in The Gothic Flame (1966): > The difference between Terror and Horror is the difference between awful > apprehension and sickening realization: between the smell of death and > stumbling against a corpse. ==Horror fiction== Horror is also a genre of film and fiction that relies on horrifying images or situations to tell stories and prompt reactions or jump scares to put their audiences on edge. I'm not proud. ==Psychoanalytic views== Freud likened the experience of horror to that of the uncanny.S Freud, The “Uncanny” Imago V 1919 p. 27 In his wake, Georges Bataille saw horror as akin to ecstasy in its transcendence of the everyday;E Roudinesco, Jacques Lacan' (Cambridge 1999) p. 122 and p. 131 as opening a way to go beyond rational social consciousness.W Paulett, G S Bataille (2015) p. 67 and p. 101 Julia Kristeva in turn considered horror as evoking experience of the primitive, the infantile, and the demoniacal aspects of unmediated femininity.J Kristeva, Powers of Horror (New York 1981) p. 63-5 ==Horror, helplessness and trauma== The paradox of pleasure experienced through horror films/books can be explained partly as stemming from relief from real-life horror in the experience of horror in play, partly as a safe way to return in adult life to the paralysing feelings of infantile helplessness.R Solomon, In Defence of Sentimentality (200) p. 108-113 Helplessness is also a factor in the overwhelming experience of real horror in psychological trauma.D Goleman, Emotional Intelligence (London 1996) p. 203-4 Playing at re-experiencing the trauma may be a helpful way of overcoming it.O Fenichel, The Psychoanalytic Theory of Neurosis (London 1946) p. 542-3 == See also == ==References== == Bibliography == *Steven Bruhm (1994) Gothic Bodies: The Politics of Pain in Romantic Fiction.",The quantified extension of volume in empty space.,The commonly held view that nature abhorred a vacuum.,The medieval thought experiment into the idea of a vacuum.,The success of Descartes' namesake coordinate system.,The spatial-corporeal component of Descartes' metaphysics.,B,TRUE,"The background knowledge provides information about the term 'horror vacui'. According to the background, horror vacui can refer to the fear of empty spaces in art and physics. Based on this information, we can conclude that the meaning of the term 'horror vacui' is related to the fear or aversion towards empty spaces. Therefore, option B) The commonly held view that nature abhorred a vacuum is the most appropriate answer."
114,What is the Droste effect?,"The Droste effect (), known in art as an example of mise en abyme, is the effect of a picture recursively appearing within itself, in a place where a similar picture would realistically be expected to appear. The illustration reappears on the cocoa package held by the nurse, inducing a recursive visual effect known today as the Droste effect.Törnqvist, Egil. They devised a method of filling in the artwork's central void in an additional application of the Droste effect by successively rotating and shrinking an image of the artwork. === Advertising === In the 20th century, the Droste effect was used to market a variety of products. The effect has been a motif, too, for the cover of many comic books, where it was especially popular in the 1940s. == Effect == === Origins === The Droste effect is named after the image on the tins and boxes of Droste cocoa powder which displayed a nurse carrying a serving tray with a cup of hot chocolate and a box with the same image, designed by Jan Misset.""Bedenker van Droste-effect bekend"", Trouw, 1 August 1994. File:Droste 1260359-nevit.jpg|Droste effect by image manipulation (using GIMP). === Medieval art === The Droste effect was anticipated by Giotto early in the 14th century, in his Stefaneschi Triptych.",The Droste effect is a type of optical illusion that creates the appearance of a three-dimensional image within a two-dimensional picture.,"The Droste effect is a type of packaging design used by a variety of products, named after a Dutch brand of cocoa, with an image designed by Jan Misset in 1904.","The Droste effect is a type of painting technique used by Dutch artist M. C. Escher in his 1956 lithograph Print Gallery, which portrays a gallery that depicts itself.","The Droste effect is a recursive image effect in which a picture appears within itself in a place where a similar picture would realistically be expected to appear. This creates a loop that can continue as far as the image's resolution allows, and is named after a Dutch brand of cocoa.",The Droste effect is a type of recursive algorithm used in computer programming to create self-referential images.,D,TRUE,"The background knowledge provides a clear definition and explanation of the Droste effect. It states that the Droste effect is a recursive image effect in which a picture appears within itself in a place where a similar picture would realistically be expected to appear. This matches option D) The Droste effect is a recursive image effect in which a picture appears within itself in a place where a similar picture would realistically be expected to appear. This creates a loop that can continue as far as the image's resolution allows, and is named after a Dutch brand of cocoa."
115,What is water hammer?,"In French and Italian, the terms for ""water hammer"" come from the hydraulic ram: coup de bélier (French) and colpo d'ariete (Italian) both mean ""blow of the ram"". see page 22. Other potential causes of water hammer: * A pump stopping * A check valve which closes quickly (i.e., ""check valve slam"") due to the flow in a pipe reversing direction on loss of motive power, such as a pump stopping. The following characteristics may reduce or eliminate water hammer: * Reduce the pressure of the water supply to the building by fitting a regulator. In residential plumbing systems, water hammer may occur when a dishwasher, washing machine or toilet suddenly shuts off water flow. Hydraulic hammer may refer to: *Breaker (hydraulic), a percussion hammer fitted to an excavator for demolishing concrete structures or rocks *Hydraulic hammer, a type of piling hammer",Water hammer is a type of water turbine used in hydroelectric generating stations to generate electricity.,Water hammer is a type of air trap or standpipe used to dampen the sound of moving water in plumbing systems.,Water hammer is a type of plumbing tool used to break pipelines and absorb the potentially damaging forces caused by moving water.,Water hammer is a type of water pump used to increase the pressure of water in pipelines.,"Water hammer is a loud banging noise resembling a hammering sound that occurs when moving water is suddenly stopped, causing a rise in pressure and resulting shock wave.",E,TRUE,"Water hammer refers to a loud banging noise resembling a hammering sound that occurs when moving water is suddenly stopped, causing a rise in pressure and resulting shock wave. This aligns with option E."
116,What is the reason for the stochastic nature of all observed resistance-switching processes?,"In the latter case no price level drift is allowed away from the predetermined path, while in the former case any stochastic change to the price level permanently affects the expected values of the price level at each time along its future path. Stochastic drift can also occur in population genetics where it is known as genetic drift. In probability theory, stochastic drift is the change of the average value of a stochastic (random) process. In mathematics, a reversible diffusion is a specific example of a reversible stochastic process. The principal focus of this journal is theory and applications of stochastic processes. ","The free-energy barriers for the transition {i} → {j} are not high enough, and the memory device can switch without having to do anything.","The device is subjected to random thermal fluctuations, which trigger the switching event, but it is impossible to predict when it will occur.","The memory device is found to be in a distinct resistance state {j}, and there exists no physical one-to-one relationship between its present state and its foregoing voltage history.","The device is subjected to biases below the threshold value, which still allows for a finite probability of switching, but it is possible to predict when it will occur.","The external bias is set to a value above a certain threshold value, which reduces the free-energy barrier for the transition {i} → {j} to zero.",B,TRUE,The background knowledge about stochastic processes and stochastic drift can be useful in understanding the reason for the stochastic nature of observed resistance-switching processes. It provides insights into the random nature of these processes and the influence of random thermal fluctuations.
117,What is the Einstein@Home project?,"Einstein@Home is a volunteer computing project that searches for signals from spinning neutron stars in data from gravitational-wave detectors, from large radio telescopes, and from a gamma-ray telescope. Users regularly contribute about 12.7 petaFLOPS of computational power, which would rank Einstein@Home among the top 45 on the TOP500 list of supercomputers. == Scientific objectives == The Einstein@Home project was originally created to perform all-sky searches for previously unknown continuous gravitational-wave (CW) sources using data from the Laser Interferometer Gravitational-Wave Observatory (LIGO) detector instruments in Washington and Louisiana, USA. Einstein@Home uses the power of volunteer computing in solving the computationally intensive problem of analyzing a large volume of data. As of July 2022, the Einstein@Home project had discovered a total of 39 gamma-ray pulsars in Fermi LAT data. == See also == * Gravitational wave * Laser Interferometer Gravitational-Wave Observatory (LIGO) * List of volunteer computing projects == References == == Scientific Publications == * * * * * * * * * * * * * * * * * * * * == External links == * Einstein@Home Website * Einstein@Home project information in Chinese * Einstein@Home user statistics * Berkeley Open Infrastructure for Network Computing (BOINC) * * Category: Science in society Category:Volunteer computing projects Category:Gravitational-wave telescopes Category:University of Wisconsin–Milwaukee Category:Free science software Category:2005 software Category:Research institutes in Lower Saxony The Einstein@Home analysis of the LAT data makes use of methods initially developed for the detection of continuous gravitational waves. == Gravitational-wave data analysis and results == alt=responsive graphics|thumb|Einstein@Home screensaver Einstein@Home has carried out many analysis runs using data from the LIGO instruments.",The Einstein@Home project is a project that aims to detect signals from supernovae or binary black holes. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect signals from supernovae or binary black holes. It takes data from SETI and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a distributed computing project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in large pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect simple gravitational waves with constant frequency. It takes data from SETI and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,C,TRUE,"Based on the background knowledge, we can determine that the correct answer is C) The Einstein@Home project is a distributed computing project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers."
118,What happens to an initially inhomogeneous physical system that is isolated by a thermodynamic operation?,"It is an axiom of thermodynamics that an isolated system eventually reaches internal thermodynamic equilibrium, when its state no longer changes with time. The internal energy of a thermally isolated system may therefore change due to the exchange of work energy. Thermodynamic systems may be isolated, closed, or open. In thermodynamics, a thermally isolated system can exchange no mass or heat energy with its environment. In thermodynamics, a mechanically isolated system is a system that is mechanically constraint to disallow deformations, so that it cannot perform any work on its environment. ",It will change its internal state only if it is composed of a single subsystem and has internal walls.,It will change its internal state only if it is composed of several subsystems separated from each other by walls.,It will remain in its initial state indefinitely.,It will generally change its internal state over time.,It will change its internal state only if it is composed of a single subsystem.,D,TRUE,"Based on the background knowledge, an isolated system eventually reaches internal thermodynamic equilibrium, when its state no longer changes with time. Therefore, an initially inhomogeneous physical system that is isolated by a thermodynamic operation will generally change its internal state over time. So, the correct answer is D) It will generally change its internal state over time."
119,"What is the concept of simultaneity in Einstein's book, Relativity?","In physics, the relativity of simultaneity is the concept that distant simultaneity – whether two spatially separated events occur at the same time – is not absolute, but depends on the observer's reference frame. Simultaneity may refer to: * Relativity of simultaneity, a concept in special relativity. However, this paper does not contain any discussion of Lorentz's theory or the possible difference in defining simultaneity for observers in different states of motion. The term that accounts for the failure of absolute simultaneity is the vx/c2. thumb|250px|right|A spacetime diagram showing the set of points regarded as simultaneous by a stationary observer (horizontal dotted line) and the set of points regarded as simultaneous by an observer moving at v = 0.25c (dashed line) The equation t′ = constant defines a ""line of simultaneity"" in the (x′, t′) coordinate system for the second (moving) observer, just as the equation t = constant defines the ""line of simultaneity"" for the first (stationary) observer in the (x, t) coordinate system. The book culminates in chapter 6, ""The transition to the relativistic conception of simultaneity"".","Simultaneity is relative, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame need not be judged as simultaneous by a second observer in a different inertial frame of reference.","Simultaneity is relative, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame will always be judged as simultaneous by a second observer in a different inertial frame of reference.","Simultaneity is absolute, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame will always be judged as simultaneous by a second observer in a different inertial frame of reference.",Simultaneity is a concept that applies only to Newtonian theories and not to relativistic theories.,Simultaneity is a concept that applies only to relativistic theories and not to Newtonian theories.,A,TRUE,"The concept of simultaneity in Einstein's book, Relativity, is that simultaneity is relative. This means that two events that appear simultaneous to an observer in a particular inertial reference frame may not be judged as simultaneous by a second observer in a different inertial frame of reference. This concept is a fundamental aspect of special relativity."
